entry_time,exit_time,direction,entry_price,exit_price,pnl_pct,pnl_usd,capital_after,exit_reason
2025-11-26 16:00:00,2025-11-27 12:00:00,LONG,87820.01,90986.56,3.605727214105308,342.2186684589313,10323.227693458932,KAMA death cross
2025-11-27 16:00:00,2025-11-28 01:00:00,LONG,91467.13,90804.56,-0.7243804413673054,-70.9729817660661,10232.649895788287,KAMA death cross
2025-11-28 03:00:00,2025-11-28 07:00:00,LONG,91208.85,90910.87,-0.3267007532712127,-31.72846636946802,10181.488629583351,KAMA death cross
2025-11-28 08:00:00,2025-11-28 16:00:00,LONG,91690.0,90936.23,-0.8220852873813982,-79.43995433784958,10082.71303564278,KAMA death cross
2025-11-29 15:00:00,2025-11-29 17:00:00,LONG,91063.5,90421.21,-0.7053210122606682,-67.49553723100149,9996.069443292574,KAMA death cross
2025-11-29 20:00:00,2025-11-29 22:00:00,LONG,90963.29,90753.02,-0.2311591852053609,-21.93063712730171,9955.15529567569,KAMA death cross
2025-11-30 07:00:00,2025-11-30 21:00:00,LONG,90968.16,91174.22,0.22651881713337685,21.40243337280988,9957.65191851437,KAMA death cross
2025-12-01 07:00:00,2025-12-01 11:00:00,LONG,86550.3,86149.15,-0.46348770599294137,-43.80321520105594,9894.938151448994,KAMA death cross
2025-12-01 21:00:00,2025-12-02 08:00:00,LONG,86436.65,86471.89,0.04076974292734071,3.828792992692292,9879.975492135616,KAMA death cross
2025-12-02 09:00:00,2025-12-02 23:00:00,LONG,86769.87,91277.88,5.195363321392564,487.1723379247886,10348.384793303228,KAMA death cross
2025-12-03 00:00:00,2025-12-03 14:00:00,LONG,91660.12,92357.54,0.7608761585736504,74.73041165581768,10403.462613269046,KAMA death cross
2025-12-03 15:00:00,2025-12-03 16:00:00,LONG,92373.3,92242.24,-0.1418808248703875,-14.009171274238934,10369.696252154605,KAMA death cross
2025-12-03 17:00:00,2025-12-04 13:00:00,LONG,92956.22,92516.38,-0.4731689821294331,-46.568594662871085,10303.434593263508,KAMA death cross
2025-12-04 15:00:00,2025-12-04 16:00:00,LONG,92971.49,92431.72,-0.5805758302894835,-56.77430151729309,10227.093064868735,KAMA death cross
2025-12-05 02:00:00,2025-12-05 03:00:00,LONG,92518.4,92142.75,-0.4060273415882616,-39.411078261722814,10168.259739735253,KAMA death cross
2025-12-06 14:00:00,2025-12-06 16:00:00,LONG,90004.76,89707.8,-0.32993810549574476,-31.84123743020926,10117.107985653962,KAMA death cross
2025-12-06 17:00:00,2025-12-06 18:00:00,LONG,89712.85,89646.71,-0.07372410975685136,-7.079078885899069,10090.815532285276,KAMA death cross
2025-12-07 02:00:00,2025-12-07 04:00:00,LONG,89621.96,89535.95,-0.09596978240601892,-9.191187093187922,10062.460902641764,KAMA death cross
2025-12-07 06:00:00,2025-12-07 07:00:00,LONG,89709.99,89379.72,-0.3681529782803499,-35.15955368862787,10008.19175460908,KAMA death cross
2025-12-07 15:00:00,2025-12-07 22:00:00,LONG,89554.52,89597.03,0.04746829082439921,4.508894167318884,9993.6941168357,KAMA death cross
2025-12-07 23:00:00,2025-12-08 14:00:00,LONG,90395.31,90852.56,0.5058337650482088,47.978282547667014,10022.69339987032,KAMA death cross
2025-12-08 20:00:00,2025-12-08 23:00:00,LONG,90799.92,90634.34,-0.18235698886078505,-17.346732726011755,9986.31259516535,KAMA death cross
2025-12-09 15:00:00,2025-12-09 21:00:00,LONG,92707.51,92640.0,-0.07282042199169708,-6.9019081768856125,9960.445705704768,KAMA death cross
2025-12-10 07:00:00,2025-12-10 08:00:00,LONG,92782.91,92605.0,-0.19174867440566748,-18.126834607404323,9923.403013558773,KAMA death cross
2025-12-10 09:00:00,2025-12-10 10:00:00,LONG,92920.01,92272.66,-0.6966744837844844,-65.6147326130478,9838.942771091182,KAMA death cross
2025-12-10 19:00:00,2025-12-10 20:00:00,LONG,92957.67,92453.89,-0.5419455973885736,-50.607508468881775,9769.650151003078,KAMA death cross
